 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  14. 3.    Time:  11:43:41
 Units: L = cm   , T = sec  , M = g    
 
 CosAlf,MaxIt,TolTh,  TolH
 1.000   10   0.001 1.00000
 
 TopInF,BotInF,AtmBC,SinkF,WLayer,qGWLF,FreeD,SeepF,lWat,lChem,lTemp,lRoot,lWDep
     T     F     T     F     F     F     F     F     T     T     F     F     F

Nodal point information

node      x         hOld    MatN LayN  Beta      Ah       AK      ATh     Temp    Conc(1...NS)         Sorb(1...NS)
  67     -1.320      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
  68     -1.340      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
  69     -1.360      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
  70     -1.380      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
  71     -1.400      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
  72     -1.420      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
  73     -1.440      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
  74     -1.460      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
  75     -1.480      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
  76     -1.500      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
  77     -1.520      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
  78     -1.540      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
  79     -1.560      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
  80     -1.580      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
  81     -1.600      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
  82     -1.620      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
  83     -1.640      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
  84     -1.660      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
  85     -1.680      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
  86     -1.700      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
  87     -1.720      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
  88     -1.740      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
  89     -1.760      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
  90     -1.780      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
  91     -1.800      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
  92     -1.820      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
  93     -1.840      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
  94     -1.860      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
  95     -1.880      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
  96     -1.900      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
  97     -1.920      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
  98     -1.940      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
  99     -1.960      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 100     -1.980      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 101     -2.000      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 102     -2.020      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 103     -2.040      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 104     -2.060      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 105     -2.080      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 106     -2.100      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
 107     -2.120      0.550    1    1   0.000    1.000    1.000    1.000   18.30  0.4500E-02
