"1","Cini","final mass in soil (g.cm2)","final mass in soil top 2cm (g.cm2)","initial mass in soil (g.cm2)","initial mass in soil top 2cm (g.cm2)","mass.out","mass.out 2cm","NSE"
"1",0.003854191,0.0417428847,0.00358828469999999,0.042394,0.00423939999999999,0.000651115300000012,0.0006511153,0.241256715544898
"1",0.004110301,0.0445156711999998,0.0038266712,0.0452099999999997,0.004521,0.000694328799999977,0.000694328800000003,0.301648517467983
"1",0.003854191,0.0417428847,0.00358828469999999,0.042394,0.00423939999999999,0.000651115300000012,0.0006511153,0.241256715544898
"1",0.003854191,0.0417428847,0.00358828469999999,0.042394,0.00423939999999999,0.000651115300000012,0.0006511153,0.241256715544898
"1",0.004110301,0.0445156711999998,0.0038266712,0.0452099999999997,0.004521,0.000694328799999977,0.000694328800000003,0.301648517467983
"1",0.004297191,0.0465409636999998,0.0040006637,0.0472669999999997,0.00472670000000001,0.000726036299999962,0.000726036300000003,0.259968181029929
"1",0.004553301,0.0493139020000004,0.00423918000000001,0.0500830000000004,0.00500830000000001,0.000769098000000024,0.000769120000000004,0.0845052800894448
"1",0.004297191,0.0465409636999998,0.0040006637,0.0472669999999997,0.00472670000000001,0.000726036299999962,0.000726036300000003,0.259968181029929
"1",0.004297191,0.0465409636999998,0.0040006637,0.0472669999999997,0.00472670000000001,0.000726036299999962,0.000726036300000003,0.259968181029929
"1",0.004553301,0.0493139020000004,0.00423918000000001,0.0500830000000004,0.00500830000000001,0.000769098000000024,0.000769120000000004,0.0845052800894448
"1",0.004518691,0.0489381871000004,0.0042070006,0.0497090000000008,0.00497090000000001,0.000770812900000396,0.000763899400000004,0.115987401294278
"1",0.003888801,0.0421216158000004,0.0036205378,0.0427790000000003,0.0042779,0.000657384199999979,0.000657362199999997,0.257535744989787
"1",0.004518691,0.0489381871000004,0.0042070006,0.0497090000000008,0.00497090000000001,0.000770812900000396,0.000763899400000004,0.115987401294278
"1",0.004518691,0.0489381871000004,0.0042070006,0.0497090000000008,0.00497090000000001,0.000770812900000396,0.000763899400000004,0.115987401294278
"1",0.003888801,0.0421216158000004,0.0036205378,0.0427790000000003,0.0042779,0.000657384199999979,0.000657362199999997,0.257535744989787
"1",0.004075691,0.0441468654000003,0.0037946524,0.0448360000000003,0.0044836,0.000689134600000002,0.000688947600000003,0.30153807137295
"1",0.004331801,0.0469198708000008,0.0040330708,0.0476520000000008,0.00476520000000001,0.000732129200000063,0.000732129200000005,0.244133086688656
"1",0.004075691,0.0441468654000003,0.0037946524,0.0448360000000003,0.0044836,0.000689134600000002,0.000688947600000003,0.30153807137295
"1",0.004075691,0.0441468654000003,0.0037946524,0.0448360000000003,0.0044836,0.000689134600000002,0.000688947600000003,0.30153807137295
"1",0.004331801,0.0469198708000008,0.0040330708,0.0476520000000008,0.00476520000000001,0.000732129200000063,0.000732129200000005,0.244133086688656
"1",0.004186441,0.0453413224000004,0.0038974969,0.0460460000000002,0.0046046,0.000704677599999766,0.000707103100000001,0.293505266165553
"1",0.004442551,0.0481118571999998,0.0041358152,0.0488729999999995,0.00488729999999999,0.000761142799999767,0.000751484799999989,0.177173672014553
"1",0.004186441,0.0453413224000004,0.0038974969,0.0460460000000002,0.0046046,0.000704677599999766,0.000707103100000001,0.293505266165553
"1",0.004186441,0.0453413224000004,0.0038974969,0.0460460000000002,0.0046046,0.000704677599999766,0.000707103100000001,0.293505266165553
"1",0.004442551,0.0481118571999998,0.0041358152,0.0488729999999995,0.00488729999999999,0.000761142799999767,0.000751484799999989,0.177173672014553
"1",0.004629441,0.0501395267999995,0.0043099793,0.0509189999999994,0.00509189999999999,0.000779473199999894,0.000781920699999997,0.00654376894900732
"1",0.003999551,0.0433158748000005,0.0037234483,0.0440000000000008,0.0044,0.000684125200000205,0.000676551700000006,0.292337099094038
"1",0.004629441,0.0501395267999995,0.0043099793,0.0509189999999994,0.00509189999999999,0.000779473199999894,0.000781920699999997,0.00654376894900732
"1",0.004629441,0.0501395267999995,0.0043099793,0.0509189999999994,0.00509189999999999,0.000779473199999894,0.000781920699999997,0.00654376894900732
"1",0.003999551,0.0433158748000005,0.0037234483,0.0440000000000008,0.0044,0.000684125200000205,0.000676551700000006,0.292337099094038
"1",0.004407941,0.0477430426000003,0.0041038426,0.0484880000000003,0.00484880000000001,0.000744957400000017,0.000744957400000001,0.200552116840096
"1",0.004664051,0.0505158764000008,0.0043422764,0.0513040000000009,0.0051304,0.000788123600000044,0.000788123600000003,-0.0333187228361835
"1",0.004407941,0.0477430426000003,0.0041038426,0.0484880000000003,0.00484880000000001,0.000744957400000017,0.000744957400000001,0.200552116840096
"1",0.004407941,0.0477430426000003,0.0041038426,0.0484880000000003,0.00484880000000001,0.000744957400000017,0.000744957400000001,0.200552116840096
"1",0.004664051,0.0505158764000008,0.0043422764,0.0513040000000009,0.0051304,0.000788123600000044,0.000788123600000003,-0.0333187228361835
"1",0.003964941,0.0429449294999997,0.0036914295,0.0436149999999997,0.0043615,0.000670070499999981,0.000670070500000002,0.284367301224071
"1",0.004221051,0.0457177820000004,0.003929882,0.0464310000000004,0.0046431,0.000713217999999995,0.000713218000000005,0.285666201271125
"1",0.003964941,0.0429449294999997,0.0036914295,0.0436149999999997,0.0043615,0.000670070499999981,0.000670070500000002,0.284367301224071
"1",0.003964941,0.0429449294999997,0.0036914295,0.0436149999999997,0.0043615,0.000670070499999981,0.000670070500000002,0.284367301224071
"1",0.004221051,0.0457177820000004,0.003929882,0.0464310000000004,0.0046431,0.000713217999999995,0.000713218000000005,0.285666201271125
"1",0.004020316,0.0435408302999994,0.00374283030000001,0.0442199999999994,0.00442200000000001,0.000679169699999975,0.000679169700000001,0.296007113382713
"1",0.004054926,0.0439197692999996,0.0037752693,0.0446049999999995,0.0044605,0.000685230699999949,0.000685230699999996,0.300251189600947
"1",0.004020316,0.0435408302999994,0.00374283030000001,0.0442199999999994,0.00442200000000001,0.000679169699999975,0.000679169700000001,0.296007113382713
"1",0.004020316,0.0435408302999994,0.00374283030000001,0.0442199999999994,0.00442200000000001,0.000679169699999975,0.000679169700000001,0.296007113382713
"1",0.004054926,0.0439197692999996,0.0037752693,0.0446049999999995,0.0044605,0.000685230699999949,0.000685230699999996,0.300251189600947
