"1","Cini","final mass in soil (g.cm2)","final mass in soil top 2cm (g.cm2)","initial mass in soil (g.cm2)","initial mass in soil top 2cm (g.cm2)","mass.out","mass.out 2cm","NSE"
"1",0.003579781,0.0371500299859997,0.002997338786,0.0379479999999996,0.00379479999999999,0.000797970013999956,0.000797461213999997,0.98726393760564
"1",0.003579781,0.0371500299859997,0.002997338786,0.0379479999999996,0.00379479999999999,0.000797970013999956,0.000797461213999997,0.98726393760564
"1",0.003899281,0.0404622521599997,0.00326470036,0.0413293999999995,0.00413294000000001,0.000867147839999735,0.000868239640000003,0.908172533406633
"1",0.003579781,0.0371500299859997,0.002997338786,0.0379479999999996,0.00379479999999999,0.000797970013999956,0.000797461213999997,0.98726393760564
"1",0.003899281,0.0404622521599997,0.00326470036,0.0413293999999995,0.00413294000000001,0.000867147839999735,0.000868239640000003,0.908172533406633
"1",0.004147781,0.0430446050800004,0.00347300308,0.0439688000000006,0.00439688,0.000924194920000163,0.000923876920000001,0.76305457730673
"1",0.004147781,0.0430446050800004,0.00347300308,0.0439688000000006,0.00439688,0.000924194920000163,0.000923876920000001,0.76305457730673
"1",0.003331281,0.0345672823219998,0.002789309122,0.0353085999999997,0.00353086,0.000741317677999946,0.000741550878000003,0.965647344633574
"1",0.004147781,0.0430446050800004,0.00347300308,0.0439688000000006,0.00439688,0.000924194920000163,0.000923876920000001,0.76305457730673
"1",0.003331281,0.0345672823219998,0.002789309122,0.0353085999999997,0.00353086,0.000741317677999946,0.000741550878000003,0.965647344633574
"1",0.003295781,0.0342031445500004,0.00275962255,0.0349376000000005,0.00349375999999999,0.000734455450000081,0.000734137449999997,0.956728620759355
"1",0.003295781,0.0342031445500004,0.00275962255,0.0349376000000005,0.00349375999999999,0.000734455450000081,0.000734137449999997,0.956728620759355
"1",0.003047281,0.0316212850600001,0.00255150586,0.0322982000000002,0.00322982000000001,0.000676914940000037,0.000678314140000004,0.851837694815476
"1",0.003295781,0.0342031445500004,0.00275962255,0.0349376000000005,0.00349375999999999,0.000734455450000081,0.000734137449999997,0.956728620759355
"1",0.003047281,0.0316212850600001,0.00255150586,0.0322982000000002,0.00322982000000001,0.000676914940000037,0.000678314140000004,0.851837694815476
"1",0.003863781,0.0400972284399999,0.00323510304,0.0409584,0.00409583999999999,0.000861171560000026,0.000860736959999994,0.922727632199692
"1",0.003863781,0.0400972284399999,0.00323510304,0.0409584,0.00409583999999999,0.000861171560000026,0.000860736959999994,0.922727632199692
"1",0.003615281,0.0375144327580001,0.003027004158,0.0383190000000001,0.00383190000000001,0.000804567241999996,0.000804895842000003,0.984421152259464
"1",0.003863781,0.0400972284399999,0.00323510304,0.0409584,0.00409583999999999,0.000861171560000026,0.000860736959999994,0.922727632199692
"1",0.003615281,0.0375144327580001,0.003027004158,0.0383190000000001,0.00383190000000001,0.000804567241999996,0.000804895842000003,0.984421152259464
"1",0.003153781,0.0327296705619996,0.002640754362,0.0334323999999996,0.00334324,0.000702729437999955,0.000702485638000001,0.905806441260735
"1",0.003153781,0.0327296705619996,0.002640754362,0.0334323999999996,0.00334324,0.000702729437999955,0.000702485638000001,0.905806441260735
"1",0.003757281,0.0389879767059999,0.003145952906,0.0398241999999999,0.00398242,0.000836223294000016,0.000836467093999999,0.958139523511919
"1",0.003153781,0.0327296705619996,0.002640754362,0.0334323999999996,0.00334324,0.000702729437999955,0.000702485638000001,0.905806441260735
"1",0.003757281,0.0389879767059999,0.003145952906,0.0398241999999999,0.00398242,0.000836223294000016,0.000836467093999999,0.958139523511919
"1",0.003721781,0.0386237986539991,0.003116279054,0.0394531999999991,0.00394532000000001,0.00082940134599991,0.000829040946000005,0.966894790111109
"1",0.003721781,0.0386237986539991,0.003116279054,0.0394531999999991,0.00394532000000001,0.00082940134599991,0.000829040946000005,0.966894790111109
"1",0.003189281,0.0330934860940003,0.002670330694,0.0338034000000002,0.00338034,0.000709913905999976,0.000710009306,0.920625383625048
"1",0.003721781,0.0386237986539991,0.003116279054,0.0394531999999991,0.00394532000000001,0.00082940134599991,0.000829040946000005,0.966894790111109
"1",0.003189281,0.0330934860940003,0.002670330694,0.0338034000000002,0.00338034,0.000709913905999976,0.000710009306,0.920625383625048
"1",0.003437781,0.0356768792979999,0.002878539498,0.0364427999999999,0.00364428,0.000765920702000003,0.000765740502000003,0.983867857795448
"1",0.003437781,0.0356768792979999,0.002878539498,0.0364427999999999,0.00364428,0.000765920702000003,0.000765740502000003,0.983867857795448
