,ini,-0.12,-0.24,-0.74,-1.5,-2.5,-3.5,-4.5,,,,,,,,,,,,,,
1,0.00385073,0.000879,0.001692,0.003684,0.003851,0.003851,0.003851,0.003851,,,,,,,,,,,,,,
1,0.00385073,0.000879,0.001692,0.003684,0.003851,0.003851,0.003851,0.003851,,,,,,,,,,,,,,
1,0.00385073,0.000879,0.001692,0.003684,0.003851,0.003851,0.003851,0.003851,,,,,,,,,,,,,,
1,0.00385073,0.000879,0.001692,0.003684,0.003851,0.003851,0.003851,0.003851,,,,,,,,,,,,,,
1,0.00385073,0.000879,0.001692,0.003684,0.003851,0.003851,0.003851,0.003851,,,,,,,,,,,,,,
1,0.003854191,0.0008797,0.001694,0.003687,0.003854,0.003854,0.003854,0.003854,,,,,,,,,,,,,,
1,0.003854191,0.0008797,0.001694,0.003687,0.003854,0.003854,0.003854,0.003854,,,,,,,,,,,,,,
1,0.003854191,0.0008797,0.001694,0.003687,0.003854,0.003854,0.003854,0.003854,,,,,,,,,,,,,,
1,0.003854191,0.0008797,0.001694,0.003687,0.003854,0.003854,0.003854,0.003854,,,,,,,,,,,,,,
1,0.003854191,0.0008797,0.001694,0.003687,0.003854,0.003854,0.003854,0.003854,,,,,,,,,,,,,,
1,0.003857652,0.0008805,0.001695,0.003691,0.003858,0.003858,0.003858,0.003858,,,,,,,,,,,,,,
1,0.003857652,0.0008805,0.001695,0.003691,0.003858,0.003858,0.003858,0.003858,,,,,,,,,,,,,,
1,0.003857652,0.0008805,0.001695,0.003691,0.003858,0.003858,0.003858,0.003858,,,,,,,,,,,,,,
1,0.003857652,0.0008805,0.001695,0.003691,0.003858,0.003858,0.003858,0.003858,,,,,,,,,,,,,,
1,0.003857652,0.0008805,0.001695,0.003691,0.003858,0.003858,0.003858,0.003858,,,,,,,,,,,,,,
1,0.003861113,0.0008813,0.001697,0.003694,0.003861,0.003861,0.003861,0.003861,,,,,,,,,,,,,,
1,0.003861113,0.0008813,0.001697,0.003694,0.003861,0.003861,0.003861,0.003861,,,,,,,,,,,,,,
1,0.003861113,0.0008813,0.001697,0.003694,0.003861,0.003861,0.003861,0.003861,,,,,,,,,,,,,,
1,0.003861113,0.0008813,0.001697,0.003694,0.003861,0.003861,0.003861,0.003861,,,,,,,,,,,,,,
1,0.003861113,0.0008813,0.001697,0.003694,0.003861,0.003861,0.003861,0.003861,,,,,,,,,,,,,,
1,0.003864574,0.0008821,0.001698,0.003697,0.003864,0.003864,0.003864,0.003864,,,,,,,,,,,,,,
1,0.003864574,0.0008821,0.001698,0.003697,0.003864,0.003864,0.003864,0.003864,,,,,,,,,,,,,,
1,0.003864574,0.0008821,0.001698,0.003697,0.003864,0.003864,0.003864,0.003864,,,,,,,,,,,,,,
1,0.003864574,0.0008821,0.001698,0.003697,0.003864,0.003864,0.003864,0.003864,,,,,,,,,,,,,,
1,0.003864574,0.0008821,0.001698,0.003697,0.003864,0.003864,0.003864,0.003864,,,,,,,,,,,,,,
1,0.003868035,0.0008829,0.0017,0.003701,0.003868,0.003868,0.003868,0.003868,,,,,,,,,,,,,,
1,0.003868035,0.0008829,0.0017,0.003701,0.003868,0.003868,0.003868,0.003868,,,,,,,,,,,,,,
1,0.003868035,0.0008829,0.0017,0.003701,0.003868,0.003868,0.003868,0.003868,,,,,,,,,,,,,,
1,0.003868035,0.0008829,0.0017,0.003701,0.003868,0.003868,0.003868,0.003868,,,,,,,,,,,,,,
1,0.003868035,0.0008829,0.0017,0.003701,0.003868,0.003868,0.003868,0.003868,,,,,,,,,,,,,,
1,0.003871496,0.0008837,0.001702,0.003704,0.003871,0.003871,0.003871,0.003871,,,,,,,,,,,,,,
1,0.003871496,0.0008837,0.001702,0.003704,0.003871,0.003871,0.003871,0.003871,,,,,,,,,,,,,,
1,0.003871496,0.0008837,0.001702,0.003704,0.003871,0.003871,0.003871,0.003871,,,,,,,,,,,,,,
1,0.003871496,0.0008837,0.001702,0.003704,0.003871,0.003871,0.003871,0.003871,,,,,,,,,,,,,,
1,0.003871496,0.0008837,0.001702,0.003704,0.003871,0.003871,0.003871,0.003871,,,,,,,,,,,,,,
1,0.003874957,0.0008845,0.001703,0.003707,0.003875,0.003875,0.003875,0.003875,,,,,,,,,,,,,,
1,0.003874957,0.0008845,0.001703,0.003707,0.003875,0.003875,0.003875,0.003875,,,,,,,,,,,,,,
1,0.003874957,0.0008845,0.001703,0.003707,0.003875,0.003875,0.003875,0.003875,,,,,,,,,,,,,,
1,0.003874957,0.0008845,0.001703,0.003707,0.003875,0.003875,0.003875,0.003875,,,,,,,,,,,,,,
1,0.003874957,0.0008845,0.001703,0.003707,0.003875,0.003875,0.003875,0.003875,,,,,,,,,,,,,,
1,0.003878418,0.0008853,0.001705,0.003711,0.003878,0.003878,0.003878,0.003878,,,,,,,,,,,,,,
1,0.003878418,0.0008853,0.001705,0.003711,0.003878,0.003878,0.003878,0.003878,,,,,,,,,,,,,,
1,0.003878418,0.0008853,0.001705,0.003711,0.003878,0.003878,0.003878,0.003878,,,,,,,,,,,,,,
1,0.003878418,0.0008853,0.001705,0.003711,0.003878,0.003878,0.003878,0.003878,,,,,,,,,,,,,,
1,0.003878418,0.0008853,0.001705,0.003711,0.003878,0.003878,0.003878,0.003878,,,,,,,,,,,,,,
1,0.003881879,0.000886,0.001706,0.003714,0.003882,0.003882,0.003882,0.003882,,,,,,,,,,,,,,
1,0.003881879,0.000886,0.001706,0.003714,0.003882,0.003882,0.003882,0.003882,,,,,,,,,,,,,,
1,0.003881879,0.000886,0.001706,0.003714,0.003882,0.003882,0.003882,0.003882,,,,,,,,,,,,,,
1,0.003881879,0.000886,0.001706,0.003714,0.003882,0.003882,0.003882,0.003882,,,,,,,,,,,,,,
1,0.003881879,0.000886,0.001706,0.003714,0.003882,0.003882,0.003882,0.003882,,,,,,,,,,,,,,
1,0.00388534,0.0008868,0.001708,0.003717,0.003885,0.003885,0.003885,0.003885,,,,,,,,,,,,,,
1,0.00388534,0.0008868,0.001708,0.003717,0.003885,0.003885,0.003885,0.003885,,,,,,,,,,,,,,
1,0.00388534,0.0008868,0.001708,0.003717,0.003885,0.003885,0.003885,0.003885,,,,,,,,,,,,,,
1,0.00388534,0.0008868,0.001708,0.003717,0.003885,0.003885,0.003885,0.003885,,,,,,,,,,,,,,
1,0.00388534,0.0008868,0.001708,0.003717,0.003885,0.003885,0.003885,0.003885,,,,,,,,,,,,,,
1,0.003888801,0.0008876,0.001709,0.00372,0.003889,0.003889,0.003889,0.003889,,,,,,,,,,,,,,
1,0.003888801,0.0008876,0.001709,0.00372,0.003889,0.003889,0.003889,0.003889,,,,,,,,,,,,,,
1,0.003888801,0.0008876,0.001709,0.00372,0.003889,0.003889,0.003889,0.003889,,,,,,,,,,,,,,
1,0.003888801,0.0008876,0.001709,0.00372,0.003889,0.003889,0.003889,0.003889,,,,,,,,,,,,,,
1,0.003888801,0.0008876,0.001709,0.00372,0.003889,0.003889,0.003889,0.003889,,,,,,,,,,,,,,
1,0.003892262,0.0008884,0.001711,0.003724,0.003892,0.003892,0.003892,0.003892,,,,,,,,,,,,,,
1,0.003892262,0.0008884,0.001711,0.003724,0.003892,0.003892,0.003892,0.003892,,,,,,,,,,,,,,
1,0.003892262,0.0008884,0.001711,0.003724,0.003892,0.003892,0.003892,0.003892,,,,,,,,,,,,,,
1,0.003892262,0.0008884,0.001711,0.003724,0.003892,0.003892,0.003892,0.003892,,,,,,,,,,,,,,
1,0.003892262,0.0008884,0.001711,0.003724,0.003892,0.003892,0.003892,0.003892,,,,,,,,,,,,,,
1,0.003895723,0.0008892,0.001712,0.003727,0.003896,0.003896,0.003896,0.003896,,,,,,,,,,,,,,
1,0.003895723,0.0008892,0.001712,0.003727,0.003896,0.003896,0.003896,0.003896,,,,,,,,,,,,,,
1,0.003895723,0.0008892,0.001712,0.003727,0.003896,0.003896,0.003896,0.003896,,,,,,,,,,,,,,
1,0.003895723,0.0008892,0.001712,0.003727,0.003896,0.003896,0.003896,0.003896,,,,,,,,,,,,,,
1,0.003895723,0.0008892,0.001712,0.003727,0.003896,0.003896,0.003896,0.003896,,,,,,,,,,,,,,
1,0.003899184,0.00089,0.001714,0.00373,0.003899,0.003899,0.003899,0.003899,,,,,,,,,,,,,,
1,0.003899184,0.00089,0.001714,0.00373,0.003899,0.003899,0.003899,0.003899,,,,,,,,,,,,,,
1,0.003899184,0.00089,0.001714,0.00373,0.003899,0.003899,0.003899,0.003899,,,,,,,,,,,,,,
1,0.003899184,0.00089,0.001714,0.00373,0.003899,0.003899,0.003899,0.003899,,,,,,,,,,,,,,
1,0.003899184,0.00089,0.001714,0.00373,0.003899,0.003899,0.003899,0.003899,,,,,,,,,,,,,,
1,0.003902645,0.0008908,0.001715,0.003734,0.003902,0.003902,0.003902,0.003902,,,,,,,,,,,,,,
1,0.003902645,0.0008908,0.001715,0.003734,0.003902,0.003902,0.003902,0.003902,,,,,,,,,,,,,,
1,0.003902645,0.0008908,0.001715,0.003734,0.003902,0.003902,0.003902,0.003902,,,,,,,,,,,,,,
1,0.003902645,0.0008908,0.001715,0.003734,0.003902,0.003902,0.003902,0.003902,,,,,,,,,,,,,,
1,0.003902645,0.0008908,0.001715,0.003734,0.003902,0.003902,0.003902,0.003902,,,,,,,,,,,,,,
1,0.003906105,0.0008915,0.001717,0.003737,0.003906,0.003906,0.003906,0.003906,,,,,,,,,,,,,,
1,0.003906105,0.0008915,0.001717,0.003737,0.003906,0.003906,0.003906,0.003906,,,,,,,,,,,,,,
1,0.003906105,0.0008915,0.001717,0.003737,0.003906,0.003906,0.003906,0.003906,,,,,,,,,,,,,,
1,0.003906105,0.0008915,0.001717,0.003737,0.003906,0.003906,0.003906,0.003906,,,,,,,,,,,,,,
1,0.003906105,0.0008915,0.001717,0.003737,0.003906,0.003906,0.003906,0.003906,,,,,,,,,,,,,,
1,0.003909566,0.0008923,0.001718,0.00374,0.003909,0.003909,0.003909,0.003909,,,,,,,,,,,,,,
1,0.003909566,0.0008923,0.001718,0.00374,0.003909,0.003909,0.003909,0.003909,,,,,,,,,,,,,,
1,0.003909566,0.0008923,0.001718,0.00374,0.003909,0.003909,0.003909,0.003909,,,,,,,,,,,,,,
1,0.003909566,0.0008923,0.001718,0.00374,0.003909,0.003909,0.003909,0.003909,,,,,,,,,,,,,,
1,0.003909566,0.0008923,0.001718,0.00374,0.003909,0.003909,0.003909,0.003909,,,,,,,,,,,,,,
1,0.003913027,0.0008932,0.00172,0.003744,0.003913,0.003913,0.003913,0.003913,,,,,,,,,,,,,,
1,0.003913027,0.0008932,0.00172,0.003744,0.003913,0.003913,0.003913,0.003913,,,,,,,,,,,,,,
1,0.003913027,0.0008932,0.00172,0.003744,0.003913,0.003913,0.003913,0.003913,,,,,,,,,,,,,,
1,0.003913027,0.0008932,0.00172,0.003744,0.003913,0.003913,0.003913,0.003913,,,,,,,,,,,,,,
1,0.003913027,0.0008932,0.00172,0.003744,0.003913,0.003913,0.003913,0.003913,,,,,,,,,,,,,,
1,0.003916488,0.000894,0.001721,0.003747,0.003917,0.003917,0.003917,0.003917,,,,,,,,,,,,,,
1,0.003916488,0.000894,0.001721,0.003747,0.003917,0.003917,0.003917,0.003917,,,,,,,,,,,,,,
1,0.003916488,0.000894,0.001721,0.003747,0.003917,0.003917,0.003917,0.003917,,,,,,,,,,,,,,
1,0.003916488,0.000894,0.001721,0.003747,0.003917,0.003917,0.003917,0.003917,,,,,,,,,,,,,,
1,0.003916488,0.000894,0.001721,0.003747,0.003917,0.003917,0.003917,0.003917,,,,,,,,,,,,,,
1,0.003919949,0.0008947,0.001723,0.00375,0.00392,0.00392,0.00392,0.00392,,,,,,,,,,,,,,
1,0.003919949,0.0008947,0.001723,0.00375,0.00392,0.00392,0.00392,0.00392,,,,,,,,,,,,,,
1,0.003919949,0.0008947,0.001723,0.00375,0.00392,0.00392,0.00392,0.00392,,,,,,,,,,,,,,
1,0.003919949,0.0008947,0.001723,0.00375,0.00392,0.00392,0.00392,0.00392,,,,,,,,,,,,,,
1,0.003919949,0.0008947,0.001723,0.00375,0.00392,0.00392,0.00392,0.00392,,,,,,,,,,,,,,
1,0.00392341,0.0008955,0.001724,0.003754,0.003924,0.003924,0.003924,0.003924,,,,,,,,,,,,,,
1,0.00392341,0.0008955,0.001724,0.003754,0.003924,0.003924,0.003924,0.003924,,,,,,,,,,,,,,
1,0.00392341,0.0008955,0.001724,0.003754,0.003924,0.003924,0.003924,0.003924,,,,,,,,,,,,,,
1,0.00392341,0.0008955,0.001724,0.003754,0.003924,0.003924,0.003924,0.003924,,,,,,,,,,,,,,
1,0.00392341,0.0008955,0.001724,0.003754,0.003924,0.003924,0.003924,0.003924,,,,,,,,,,,,,,
1,0.003926871,0.0008963,0.001726,0.003757,0.003927,0.003927,0.003927,0.003927,,,,,,,,,,,,,,
1,0.003926871,0.0008963,0.001726,0.003757,0.003927,0.003927,0.003927,0.003927,,,,,,,,,,,,,,
1,0.003926871,0.0008963,0.001726,0.003757,0.003927,0.003927,0.003927,0.003927,,,,,,,,,,,,,,
1,0.003926871,0.0008963,0.001726,0.003757,0.003927,0.003927,0.003927,0.003927,,,,,,,,,,,,,,
1,0.003926871,0.0008963,0.001726,0.003757,0.003927,0.003927,0.003927,0.003927,,,,,,,,,,,,,,
1,0.003930332,0.0008971,0.001727,0.00376,0.00393,0.00393,0.00393,0.00393,,,,,,,,,,,,,,
1,0.003930332,0.0008971,0.001727,0.00376,0.00393,0.00393,0.00393,0.00393,,,,,,,,,,,,,,
1,0.003930332,0.0008971,0.001727,0.00376,0.00393,0.00393,0.00393,0.00393,,,,,,,,,,,,,,
1,0.003930332,0.0008971,0.001727,0.00376,0.00393,0.00393,0.00393,0.00393,,,,,,,,,,,,,,
1,0.003930332,0.0008971,0.001727,0.00376,0.00393,0.00393,0.00393,0.00393,,,,,,,,,,,,,,
1,0.003933793,0.0008979,0.001729,0.003764,0.003934,0.003934,0.003934,0.003934,,,,,,,,,,,,,,
1,0.003933793,0.0008979,0.001729,0.003764,0.003934,0.003934,0.003934,0.003934,,,,,,,,,,,,,,
