 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   3. 4.    Time:  11:31:16
 Units: L = cm   , T = sec  , M = g    


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh
  280      5.58     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  281      5.60     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  282      5.62     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  283      5.64     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  284      5.66     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  285      5.68     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  286      5.70     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  287      5.72     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  288      5.74     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  289      5.76     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  290      5.78     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  291      5.80     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  292      5.82     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  293      5.84     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  294      5.86     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  295      5.88     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  296      5.90     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  297      5.92     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  298      5.94     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  299      5.96     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  300      5.98     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  301      6.00     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  302      6.02     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  303      6.04     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  304      6.06     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  305      6.08     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  306      6.10     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  307      6.12     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  308      6.14     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  309      6.16     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  310      6.18     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  311      6.20     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  312      6.22     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  313      6.24     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  314      6.26     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  315      6.28     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  316      6.30     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  317      6.32     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  318      6.34     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  319      6.36     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  320      6.38     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  321      6.40     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  322      6.42     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  323      6.44     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  324      6.46     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  325      6.48     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  326      6.50     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  327      6.52     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  328      6.54     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  329      6.56     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  330      6.58     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  331      6.60     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  332      6.62     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  333      6.64     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  334      6.66     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  335      6.68     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  336      6.70     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  337      6.72     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  338      6.74     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  339      6.76     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  340      6.78     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  341      6.80     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  342      6.82     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  343      6.84     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  344      6.86     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  345      6.88     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  346      6.90     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  347      6.92     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  348      6.94     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  349      6.96     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  350      6.98     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  351      7.00     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  352      7.02     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  353      7.04     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  354      7.06     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  355      7.08     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  356      7.10     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  357      7.12     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  358      7.14     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  359      7.16     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  360      7.18     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  361      7.20     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  362      7.22     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  363      7.24     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  364      7.26     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  365      7.28     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  366      7.30     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  367      7.32     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  368      7.34     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  369      7.36     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  370      7.38     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  371      7.40     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  372      7.42     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  373      7.44     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  374      7.46     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  375      7.48     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  376      7.50     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  377      7.52     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  378      7.54     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  379      7.56     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  380      7.58     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  381      7.60     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  382      7.62     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  383      7.64     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  384      7.66     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  385      7.68     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  386      7.70     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  387      7.72     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  388      7.74     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  389      7.76     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  390      7.78     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  391      7.80     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  392      7.82     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  393      7.84     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  394      7.86     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  395      7.88     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  396      7.90     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  397      7.92     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  398      7.94     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  399      7.96     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  400      7.98     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  401      8.00     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  402      8.02     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  403      8.04     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  404      8.06     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  405      8.08     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  406      8.10     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  407      8.12     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  408      8.14     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  409      8.16     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  410      8.18     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  411      8.20     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  412      8.22     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  413      8.24     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  414      8.26     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  415      8.28     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  416      8.30     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  417      8.32     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  418      8.34     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  419      8.36     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  420      8.38     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  421      8.40     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  422      8.42     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  423      8.44     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  424      8.46     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  425      8.48     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  426      8.50     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  427      8.52     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  428      8.54     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  429      8.56     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  430      8.58     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  431      8.60     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  432      8.62     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  433      8.64     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  434      8.66     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  435      8.68     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  436      8.70     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  437      8.72     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  438      8.74     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  439      8.76     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  440      8.78     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  441      8.80     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  442      8.82     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  443      8.84     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  444      8.86     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  445      8.88     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  446      8.90     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  447      8.92     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  448      8.94     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  449      8.96     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  450      8.98     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  451      9.00     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  452      9.02     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  453      9.04     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  454      9.06     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  455      9.08     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  456      9.10     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  457      9.12     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  458      9.14     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  459      9.16     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  460      9.18     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  461      9.20     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  462      9.22     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  463      9.24     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  464      9.26     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  465      9.28     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  466      9.30     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  467      9.32     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  468      9.34     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  469      9.36     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  470      9.38     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  471      9.40     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  472      9.42     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  473      9.44     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  474      9.46     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  475      9.48     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  476      9.50     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  477      9.52     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  478      9.54     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  479      9.56     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  480      9.58     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  481      9.60     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  482      9.62     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  483      9.64     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  484      9.66     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  485      9.68     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  486      9.70     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  487      9.72     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  488      9.74     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  489      9.76     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  490      9.78     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  491      9.80     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  492      9.82     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  493      9.84     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  494      9.86     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  495      9.88     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  496      9.90     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  497      9.92     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  498      9.94     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  499      9.96     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  500      9.98     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
  501     10.00     0.078     0.490       0.0   0.386E-03     1.000     0.000     1.000     1.000     1.000
end
